#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -19.10594
25    3    1.00803 
25    4    1.41571 
25    5    0.00000 
25    6    0.61868 
25    7    0.28506 
25    8    0.39984 
25    9    0.00000 
25    10    1.11392 
25    11    0.49449 
25    12    -0.05798 
25    13    -1.00685 
25    14    0.00000 
25    15    0.00000 
25    16    -4.24648 
25    17    0.04533 
25    18    1.76217 
25    19    0.62004 
25    20    0.00000 
25    21    -4.23049 
25    22    0.04530 
25    23    -0.00078 
25    24    1.85785 
25    25    0.00000 
